Var1,Var2,Var3,Var4
SampleTimeMat,SampleTime,AvgExponent,AvgAlpha
738239.002247685,24-Mar-2021 00:03:14,0.274359026485602,0.784708217399124
738239.005761574,24-Mar-2021 00:08:17,0.27852389557095,0.782151982817208
738239.009277778,24-Mar-2021 00:13:21,0.312338577842944,0.761998478809998
738239.012796296,24-Mar-2021 00:18:25,0.273560005119803,0.785200537061409
738239.0163125,24-Mar-2021 00:23:29,0.317106738531321,0.759239908767819
738239.019826389,24-Mar-2021 00:28:33,0.288478681472546,0.776109076835593
738239.023347222,24-Mar-2021 00:33:37,0.285355943318722,0.777994613241568
738239.026861111,24-Mar-2021 00:38:40,0.265195721004192,0.79039154448475
738239.030377315,24-Mar-2021 00:43:44,0.278381648835058,0.782239013608544
738239.033893518,24-Mar-2021 00:48:48,0.306051922020185,0.765666343841225
738239.037412037,24-Mar-2021 00:53:52,0.249297150885012,0.800450076502289
738239.040925926,24-Mar-2021 00:58:56,0.281439182119752,0.780372579481926
738239.044997685,24-Mar-2021 01:04:47,0.290314485050167,0.775004862447251
738239.048650463,24-Mar-2021 01:10:03,0.308273985348044,0.764365882987398
738239.052168981,24-Mar-2021 01:15:07,0.280950441730058,0.78067032683122
738239.055685185,24-Mar-2021 01:20:11,0.274313119553086,0.784736486390966
738239.059199074,24-Mar-2021 01:25:14,0.267066197061497,0.789224747940667
738239.062717593,24-Mar-2021 01:30:18,0.273621479520346,0.785162637471069
738239.066233796,24-Mar-2021 01:35:22,0.254127771037946,0.797366921531748
738239.06975,24-Mar-2021 01:40:26,0.268046571906854,0.788614568387837
738239.073263889,24-Mar-2021 01:45:30,0.287431719124545,0.776740222526132
738239.076784722,24-Mar-2021 01:50:34,0.264575931233569,0.790778928572933
738239.080298611,24-Mar-2021 01:55:37,0.288735660951102,0.775954317320581
738239.083814815,24-Mar-2021 02:00:41,0.289071341528837,0.77575225496364
738239.087331019,24-Mar-2021 02:05:45,0.294519480084145,0.772487409718237
738239.090847222,24-Mar-2021 02:10:49,0.2913343003493,0.7743928119384
738239.094363426,24-Mar-2021 02:15:53,0.30035559004026,0.769020418460337
738239.097881945,24-Mar-2021 02:20:57,0.277414239993017,0.782831417321187
738239.102087963,24-Mar-2021 02:27:00,0.304794586542897,0.766404160711257
738239.105604167,24-Mar-2021 02:32:04,0.269791399677462,0.787530928508422
738239.109122685,24-Mar-2021 02:37:08,0.29694345702223,0.771043636933865
738239.112636574,24-Mar-2021 02:42:11,0.290247510941861,0.775045091363916
738239.116152778,24-Mar-2021 02:47:15,0.289117013056665,0.775724771197356
738239.119671296,24-Mar-2021 02:52:19,0.263946686612026,0.79117261083256
738239.1231875,24-Mar-2021 02:57:23,0.287755631363293,0.776544847209359
738239.126701389,24-Mar-2021 03:02:27,0.285480008736486,0.777919526716648
738239.130222222,24-Mar-2021 03:07:31,0.284942328339202,0.778245044890464
738239.133736111,24-Mar-2021 03:12:34,0.293482182744179,0.773106899608355
738239.137252315,24-Mar-2021 03:17:38,0.294965380403763,0.772221416211301
738239.140768519,24-Mar-2021 03:22:42,0.288392969333941,0.776160708574007
738239.144284722,24-Mar-2021 03:27:46,0.262261645757794,0.792228777100847
738239.147800926,24-Mar-2021 03:32:50,0.273136695803877,0.785461610914125
738239.151319444,24-Mar-2021 03:37:54,0.290976587417807,0.774607386180555
738239.154974537,24-Mar-2021 03:43:09,0.261688320882408,0.792588774461044
738239.159041667,24-Mar-2021 03:49:01,0.292377173323517,0.773767922121659
738239.162560185,24-Mar-2021 03:54:05,0.282564021434505,0.779688174069886
738239.166074074,24-Mar-2021 03:59:08,0.297838169097528,0.770512089882027
738239.169590278,24-Mar-2021 04:04:12,0.273872733932091,0.785007774609696
738239.173108796,24-Mar-2021 04:09:16,0.252915395504946,0.798138488510617
738239.176625,24-Mar-2021 04:14:20,0.2796285168358,0.78147680115222
738239.180138889,24-Mar-2021 04:19:24,0.230778381634199,0.812493959044214
738239.183659722,24-Mar-2021 04:24:28,0.276023213978144,0.783684802161545
738239.187173611,24-Mar-2021 04:29:31,0.291005146203253,0.774590250814199
738239.190689815,24-Mar-2021 04:34:35,0.289601141059557,0.775433557059653
738239.194206019,24-Mar-2021 04:39:39,0.381060316181737,0.724081336841777
738239.197722222,24-Mar-2021 04:44:43,0.302228984286043,0.767914101181105
738239.201238426,24-Mar-2021 04:49:47,0.210247127139095,0.82627752429696
738239.204756944,24-Mar-2021 04:54:51,0.34809575841511,0.741787067986662
738239.208270833,24-Mar-2021 04:59:54,0.264479543193186,0.790839207627435
738239.212064815,24-Mar-2021 05:05:22,0.280259072810263,0.781091906503678
738239.215997685,24-Mar-2021 05:11:02,0.265320305066633,0.790313722142742
738239.219511574,24-Mar-2021 05:16:05,0.214726593098725,0.823230515970705
738239.223027778,24-Mar-2021 05:21:09,0.190551428955658,0.839946915083872
738239.226543981,24-Mar-2021 05:26:13,0.263878781629883,0.791215118518259
738239.2300625,24-Mar-2021 05:31:17,0.237349654122942,0.808178995054409
738239.233576389,24-Mar-2021 05:36:21,0.316258029478657,0.759729458513602
738239.237094907,24-Mar-2021 05:41:25,0.0932341069655551,0.914717162251422
738239.240608796,24-Mar-2021 05:46:28,0.313126605520857,0.761541191683757
738239.244127315,24-Mar-2021 05:51:32,0.294683391647785,0.772389610039925
738239.247643518,24-Mar-2021 05:56:36,0.257228921554213,0.795400092103973
738239.251159722,24-Mar-2021 06:01:40,0.0640316415452451,0.939821675366482
